epoch,accuracy,loss,val_accuracy,val_loss
0,0.37115970253944397,1.324200987815857,0.49567723274230957,1.2418220043182373
1,0.6653750538825989,0.962192714214325,0.651296854019165,0.9105331301689148
2,0.7990589737892151,0.5702903866767883,0.6916426420211792,0.7871872782707214
3,0.8438970446586609,0.41588640213012695,0.729106605052948,0.792559027671814
4,0.873512327671051,0.33786988258361816,0.6829971075057983,0.8759932518005371
5,0.9053418040275574,0.2775285243988037,0.6974063515663147,0.8567536473274231
6,0.9230556488037109,0.22997112572193146,0.6916426420211792,0.9524171352386475
7,0.9368945360183716,0.1949084997177124,0.6829971075057983,1.02671480178833
8,0.9440907835960388,0.17213357985019684,0.6628242135047913,1.0798662900924683
9,0.9548851251602173,0.14786143600940704,0.6714697480201721,1.12794828414917
10,0.9584832787513733,0.13417665660381317,0.6743515729904175,1.1617671251296997
11,0.9634652733802795,0.12117644399404526,0.6657060384750366,1.2288694381713867
12,0.9670633673667908,0.1100662350654602,0.6570605039596558,1.318562388420105
13,0.9667866230010986,0.10252919793128967,0.6657060384750366,1.3007808923721313
14,0.973429262638092,0.09667441993951797,0.680115282535553,1.3623425960540771
15,0.972875714302063,0.08948798477649689,0.6455331444740295,1.4267758131027222
16,0.9748131632804871,0.08449447900056839,0.6657060384750366,1.3911885023117065
17,0.9748131632804871,0.08039392530918121,0.6628242135047913,1.4993667602539062
18,0.974259614944458,0.07946337014436722,0.6714697480201721,1.4878813028335571
19,0.9767506122589111,0.07321721315383911,0.6714697480201721,1.5255992412567139
20,0.9748131632804871,0.07675695419311523,0.6541786789894104,1.5290261507034302
21,0.9775809645652771,0.07157953828573227,0.6685879230499268,1.5826061964035034
22,0.9759202599525452,0.06983818858861923,0.6657060384750366,1.6216038465499878
23,0.9795184135437012,0.06516864150762558,0.6714697480201721,1.5921776294708252
24,0.9784113168716431,0.06555100530385971,0.6657060384750366,1.6136386394500732
